;name;crossing;finishing;heading_accuracy;short_passing;volleys;dribbling;curve;fk_accuracy;long_passing;ball_control;acceleration;sprint_speed;agility;reactions;balance;shot_power;jumping;stamina;strength;long_shots;aggression;interceptions;positioning;vision;penalties;composure;defensive_awareness;standing_tackle;slide_tackle;gk_diving;gk_handling;gk_kicking;gk_positioning;gk_reflexes;best_position;club_position;best_overall_rating;country;team;age
14;Youssoufa Moukoko;47;78;62;67;73;79;68;39;42;76;82;86;84;71;85;70;77;64;67;59;48;31;72;59;60;68;30;31;25;13;13;11;10;13;ST;ST;75;Germany;Borussia Dortmund;17
15;António João Tavares Silva;45;28;74;74;29;69;31;26;73;73;77;81;48;78;52;45;67;83;82;22;63;80;25;67;40;77;74;78;73;12;10;8;6;8;RCB;CDM;77;Portugal;Benfica;18
16;Matheus Santos Carneiro Da Cunha;75;82;68;78;75;86;77;64;67;84;81;86;85;81;70;83;74;81;72;82;68;25;83;77;74;82;29;28;32;8;7;13;13;11;SUB;ST;83;Brazil;Atlético Madrid;23
17;Thiago Ezequiel Almada;64;71;39;74;73;82;83;65;68;79;90;81;92;72;93;75;56;74;55;72;64;58;68;72;77;81;47;57;53;12;8;9;8;10;LCM;CAM;78;Argentina;Atlanta United;21
18;Rodrigo Javier De Paul;78;76;58;85;71;82;84;76;85;85;80;76;78;81;78;80;68;91;79;78;76;79;78;86;66;81;71;81;75;13;12;10;7;14;RCM;CM;84;Argentina;Atlético Madrid;28
19;Gonçalo Matias Ramos;60;80;79;71;74;73;60;45;65;76;78;77;78;77;76;83;84;89;79;67;80;34;80;63;57;74;38;42;21;15;9;7;7;15;ST;ST;80;Portugal;Benfica;21
20;Antonio Nusa;58;58;40;62;55;78;67;58;57;75;87;85;89;50;86;67;33;40;53;60;37;27;57;53;54;55;37;47;53;12;14;14;9;10;SUB;LW;68;Norway;Club Brugge;17
21;Khvicha Kvaratskhelia;69;72;62;78;64;84;78;59;72;83;83;82;84;72;71;76;59;71;68;74;61;37;79;78;65;76;41;39;34;9;15;8;14;8;RES;CAM;81;Georgia;Napoli;21
22;William Alain André Gabriel Saliba;58;37;67;79;34;72;55;35;73;78;77;84;50;81;59;60;72;69;84;23;82;83;43;62;47;79;83;85;81;7;10;6;8;11;RCB;CB;83;France;Arsenal;21
23;Erling Braut Haaland;47;94;79;74;88;78;77;62;53;82;82;94;76;89;72;94;74;81;93;87;85;43;91;74;76;85;44;53;29;7;14;13;11;7;ST;ST;91;Norway;Manchester City;21
24;Alan Gonzalo Varela;61;54;57;80;60;68;80;43;74;75;71;70;71;75;75;69;62;82;74;61;65;76;63;73;60;79;75;72;70;8;11;14;5;13;CDM;CDM;77;Argentina;Boca Juniors;20
25;Luis Gerardo Chávez Magallón;74;64;48;80;65;79;76;82;78;81;80;80;71;75;71;83;42;84;64;82;60;67;70;82;70;72;70;75;70;7;10;14;9;12;SUB;CAM;80;Mexico;;26
26;Eduardo Celmi Camavinga;70;62;64;84;59;80;72;59;81;83;75;76;81;79;78;73;70;81;78;69;78;77;73;77;62;82;75;80;79;12;6;8;12;12;SUB;CDM;83;France;Real Madrid;19
27;Orkun Kökçü;78;71;41;84;72;77;82;77;83;83;75;69;81;73;80;77;60;85;70;82;85;72;75;84;77;77;68;71;68;9;6;10;6;12;LCM;CM;82;Turkey;Feyenoord;21
28;Jamal Musiala;66;74;49;79;65;89;67;48;74;88;84;76;92;84;91;71;55;77;53;73;59;65;78;79;53;84;64;63;69;6;9;8;8;11;CAM;CAM;84;Germany;FC Bayern München;19
29;Francisco Guillermo Ochoa Magaña;15;12;19;37;16;10;14;17;37;20;50;50;57;70;43;53;79;38;60;11;19;23;16;50;16;60;21;10;12;82;73;70;81;84;GK;GK;80;Mexico;;36
30;Rafael Alexandre Conceição Leão;75;80;63;76;74;89;80;60;63;86;90;92;82;83;80;80;62;77;80;72;60;24;82;74;63;81;22;24;21;10;12;15;11;9;LW;LW;84;Portugal;Milan;23
31;Jobe Bellingham;41;45;48;62;33;60;34;36;58;61;69;68;62;53;65;57;61;63;55;40;56;53;59;57;45;55;57;56;57;10;10;13;15;11;SUB;CAM;60;England;Birmingham City;16
32;Lisandro Martínez;75;52;76;82;56;76;68;55;82;79;77;72;75;79;79;72;91;85;81;66;86;83;62;74;55;84;85;84;83;6;14;13;14;8;LCB;CDM;84;Argentina;Manchester United;24
33;Cody Mathès Gakpo;83;82;66;76;75;86;78;76;68;84;86;87;81;81;71;86;75;76;77;83;60;39;81;79;68;78;43;38;28;15;11;7;9;5;LW;RM;84;Netherlands;PSV;23
34;Alejandro Garnacho Ferreyra;61;62;44;57;54;66;64;61;47;62;84;80;85;63;86;57;38;63;50;56;46;25;60;57;56;65;18;23;20;6;15;14;13;7;SUB;LW;65;Argentina;Manchester United;18
35;Fabio Miretti;71;52;49;77;70;77;74;69;75;79;77;77;79;71;77;66;59;79;67;68;72;62;66;73;65;75;62;69;67;11;9;6;14;12;LCM;RM;76;Italy;Juventus;18
36;Xavi Quentin Shay Simons;62;65;50;76;56;77;72;65;70;80;86;84;86;72;82;67;53;71;58;63;74;61;73;76;63;75;48;61;52;9;11;5;8;10;RW;CAM;77;Netherlands;PSV;19
37;Mykhailo Mudryk;69;66;39;66;47;80;62;63;64;79;89;87;86;67;75;69;60;64;53;64;62;28;69;73;52;70;51;52;38;10;12;14;6;7;SUB;RM;76;Ukraine;Shakhtar Donetsk;21
38;Ernesto Alexis Vega Rojas;69;76;64;77;65;88;72;75;74;78;81;79;83;72;86;80;70;80;75;81;64;26;75;86;66;75;44;19;18;5;11;12;8;7;LW;CAM;82;Mexico;;24
39;Marcus Lilian Thuram-Ulien;74;80;77;74;70;82;66;48;62;78;78;89;73;78;57;81;71;79;85;73;50;50;80;76;70;75;43;49;37;11;13;14;9;15;ST;ST;81;France;Borussia Mönchengladbach;24
40;Jeremie Agyekum Frimpong;83;62;49;75;43;85;74;47;58;79;96;93;91;76;90;53;72;84;61;48;74;71;76;75;39;71;73;77;74;12;7;8;13;14;RM;RM;81;Netherlands;Bayer 04 Leverkusen;21
41;Mathis Rayan Cherki;70;64;28;69;57;86;77;73;59;79;74;68;82;69;83;76;31;56;67;68;57;22;69;68;61;75;19;23;15;7;14;6;8;8;SUB;CAM;74;France;Olympique Lyonnais;18
42;Nahuel Molina Lucero;79;67;60;76;62;76;66;44;68;77;84;81;80;78;76;70;75;79;61;67;74;72;77;75;45;71;71;75;70;12;13;8;5;10;RB;RM;79;Argentina;Atlético Madrid;24
43;Jérémie Boga;78;72;59;73;60;84;78;64;69;79;90;79;88;67;82;80;61;67;63;75;56;41;72;68;55;73;24;42;34;15;8;9;14;16;SUB;RM;78;Côte d'Ivoire;Atalanta;25
44;Giorgio Scalvini;34;23;70;63;34;45;32;22;44;67;55;55;38;72;49;44;71;68;67;28;67;73;28;42;35;69;72;74;72;6;12;12;9;6;SUB;CB;72;Italy;Atalanta;18
45;Paulo Bruno Exequiel Dybala;82;83;58;86;88;90;89;88;79;93;84;76;88;79;90;84;74;68;60;89;43;42;82;91;84;79;32;41;39;5;4;4;5;8;SUB;CAM;87;Argentina;Roma;28
46;Aurélien Tchouaméni;68;67;74;86;50;78;76;53;84;80;75;72;73;83;70;78;74;83;81;75;80;84;75;83;55;83;81;81;78;9;8;12;12;7;CDM;CM;84;France;Real Madrid;22
47;Degnand Wilfried Gnonto;53;68;62;70;54;79;52;46;64;74;88;86;86;65;83;70;64;64;67;64;53;25;67;61;63;70;37;21;19;11;9;10;10;13;SUB;CAM;73;Italy;Leeds United;18
48;Christopher Nkunku;81;86;61;85;70;89;82;80;80;88;87;89;88;85;90;79;59;78;64;78;59;64;86;85;67;81;62;64;54;5;6;10;15;7;LS;CAM;89;France;RB Leipzig;24
49;Alberto Moleiro González;59;69;57;77;53;79;59;42;74;76;80;74;80;66;83;68;61;65;56;62;60;45;72;84;59;60;40;48;53;6;9;11;8;11;SUB;CAM;78;Spain;Las Palmas;18
50;Federico Santiago Valverde Dipetta;73;75;59;86;70;81;74;69;87;84;84;91;77;87;68;89;62;89;80;87;81;81;79;83;59;82;79;81;79;6;10;6;15;8;RW;CM;86;Uruguay;Real Madrid;23
51;Gabriel Teodoro Martinelli Silva;74;78;72;72;70;86;72;65;50;81;89;87;86;79;80;77;55;78;63;65;80;37;78;75;60;75;44;44;43;10;6;7;6;6;LM;ST;80;Brazil;Arsenal;21
52;Jude Victor William Bellingham;66;77;69;84;71;85;68;49;82;84;78;73;81;84;79;78;77;89;74;74;85;80;77;84;56;79;79;78;76;14;11;10;5;8;LDM;CM;85;England;Borussia Dortmund;19
53;Malo Gusto;77;44;57;71;52;73;73;36;62;73;85;88;74;71;77;60;68;83;65;46;74;67;71;64;45;72;65;72;73;10;6;14;8;11;RWB;RWB;76;France;Olympique Lyonnais;19
54;Alejandro Balde Martínez;72;51;61;77;32;75;56;28;65;76;88;86;80;70;74;53;45;73;63;39;47;66;63;72;41;64;63;70;70;5;8;7;10;13;SUB;LM;75;Spain;FC Barcelona;18
55;Diogo Meireles Costa;13;6;11;39;8;18;10;10;44;30;30;36;36;79;35;59;58;25;63;9;23;18;18;61;14;44;19;13;11;79;77;79;79;85;GK;GK;81;Portugal;Porto;22
56;Piero Martín Hincapié Reyna;55;40;76;78;29;70;56;32;74;73;79;86;73;74;65;50;80;74;74;27;76;77;55;53;33;76;76;79;84;9;15;10;6;9;LCB;CB;79;Ecuador;Bayer 04 Leverkusen;20
57;Cristian Gabriel Romero;42;48;83;74;52;59;54;38;64;68;75;72;67;82;68;51;85;72;82;36;90;82;43;41;40;80;86;86;85;5;7;11;10;14;RCB;CB;86;Argentina;Tottenham Hotspur;24
58;Kenneth Ina Dorothea Taylor;74;68;55;78;62;76;75;75;78;77;84;69;76;71;69;75;49;70;67;70;68;64;73;78;56;77;66;66;63;9;12;10;6;7;LCM;CAM;77;Netherlands;Ajax;20
59;Iyenoma Destiny Udogie;76;64;64;74;58;76;59;51;64;78;86;89;80;70;70;71;62;79;75;59;68;68;69;60;46;64;66;73;65;8;14;11;10;14;LM;LWB;76;Italy;Udinese;19
60;César Jasib Montes Castro;41;43;80;73;31;60;62;37;76;68;66;58;75;76;51;55;84;78;78;35;78;77;56;65;48;75;80;80;76;9;10;5;5;13;RCB;CB;80;Mexico;;25
61;Diogo Meireles Costa;13;6;11;39;8;18;10;10;44;30;30;36;36;79;35;59;58;25;63;9;23;18;18;61;14;44;19;13;11;79;77;79;79;85;GK;GK;81;Portugal;Porto;22
62;Dominik Livaković;13;12;13;46;10;19;12;11;56;28;57;54;65;78;30;53;61;32;75;9;26;21;11;60;15;64;24;20;21;80;76;71;77;87;GK;GK;80;Croatia;Dinamo Zagreb;27
63;Chukwunonso Tristan Madueke;65;72;42;71;67;85;75;63;64;81;92;89;84;74;80;73;76;64;64;72;53;31;67;69;61;71;42;32;37;5;13;6;12;15;SUB;CAM;78;England;PSV;20
64;Nicholas Williams Arthuer;73;75;68;72;58;83;69;57;59;76;92;92;90;68;80;73;66;68;61;68;36;40;68;62;62;69;36;20;18;9;13;12;12;14;RM;RM;77;Spain;Athletic Club;19
65;Marcos Javier Acuña;87;66;60;84;68;87;88;75;78;87;77;76;83;84;90;82;63;91;82;81;84;80;81;82;76;87;81;85;84;8;14;13;13;14;SUB;LB;85;Argentina;Sevilla;30
66;Antoine Griezmann;82;82;83;82;84;84;87;85;80;85;79;78;89;85;83;82;88;85;64;83;73;52;88;85;79;89;45;56;52;14;8;14;13;14;SUB;CAM;84;France;Atlético Madrid;31
67;Lautaro Javier Martínez;58;88;84;76;90;84;78;54;73;86;86;80;86;89;89;80;89;80;84;76;90;45;86;80;74;86;55;31;44;11;8;8;8;13;LS;ST;88;Argentina;Inter;24
68;Darwin Gabriel Núñez Ribeiro;67;83;76;69;79;76;75;61;60;77;88;91;78;85;67;86;76;89;87;75;78;41;85;71;78;83;36;39;33;14;10;12;10;13;LW;ST;84;Uruguay;Liverpool;23
69;Ángel Fabián Di María Hernández;85;74;51;85;78;88;92;88;80;89;80;79;91;83;75;83;70;74;61;84;73;42;82;89;73;87;41;55;52;10;7;11;12;11;SUB;CAM;85;Argentina;Juventus;34
70;Jules Koundé;45;47;80;81;32;72;42;26;75;74;85;83;71;85;74;48;88;76;80;40;75;86;47;62;43;82;85;85;83;11;10;8;14;13;RB;CB;85;France;FC Barcelona;23
71;Maxence Lacroix;35;29;74;72;28;66;37;26;66;68;85;89;64;78;55;46;80;67;82;27;74;80;32;50;38;80;79;78;75;14;7;12;12;11;SUB;CB;79;France;VfL Wolfsburg;22
72;Karim-David Adeyemi;63;77;62;69;71;78;67;62;64;75;94;92;88;69;81;76;88;74;72;74;51;23;74;68;73;71;18;19;25;12;12;7;12;7;SUB;ST;77;Germany;Borussia Dortmund;20
73;Micky van de Ven;58;37;76;65;47;63;37;34;69;67;72;89;59;68;49;48;66;68;84;51;72;70;48;46;39;68;68;73;75;7;13;13;11;7;LCB;CB;75;Netherlands;VfL Wolfsburg;21
74;Ibrahima Konaté;38;29;79;75;28;67;32;27;69;69;68;85;60;75;54;45;75;65;87;31;80;82;37;51;41;74;80;85;79;9;7;9;9;15;SUB;CB;83;France;Liverpool;23
75;Vinícius José Paixão de Oliveira Júnior;72;84;50;75;72;92;77;62;73;89;95;95;94;82;83;76;75;84;62;76;58;26;82;75;65;79;32;25;18;5;7;7;7;10;LW;LW;86;Brazil;Real Madrid;21
76;Pedro António Pereira Gonçalves;75;84;40;83;79;83;79;72;78;84;77;76;83;84;87;78;43;83;58;79;64;69;84;82;77;86;57;61;48;15;11;15;7;8;LW;CAM;84;Portugal;Sporting CP;24
77;Rodrygo Silva de Goes;74;80;62;77;67;84;80;73;64;83;88;88;87;78;85;73;74;81;52;74;54;21;79;73;81;82;25;36;32;9;8;12;8;5;SUB;RM;82;Brazil;Real Madrid;21
78;Mohammed Kudus;59;75;52;76;68;80;64;48;73;81;91;85;85;72;92;78;77;77;75;67;68;59;77;75;64;76;60;66;46;6;12;7;7;10;SUB;CAM;79;Ghana;Ajax;21
79;Khéphren Thuram-Ulien;68;73;76;79;55;78;72;56;78;79;75;74;71;78;69;74;74;79;80;69;70;76;77;77;59;78;76;76;72;7;9;14;11;9;LCM;CM;80;France;Nice;21
80;Antony Matheus dos Santos;79;76;45;76;67;85;84;74;62;88;95;88;92;77;85;75;57;81;62;78;79;50;76;79;66;82;49;45;31;9;10;14;8;13;RW;CAM;84;Brazil;Manchester United;22
81;Junior Castello Lukeba;59;41;73;76;42;69;54;26;72;71;71;78;69;76;64;55;75;72;75;38;72;76;44;67;39;76;76;79;76;8;10;14;11;13;LCB;CB;78;France;Olympique Lyonnais;19
82;Nicolas Thierry Raskin;68;57;66;75;58;72;69;67;73;74;69;67;77;71;77;71;80;82;68;68;82;68;54;72;58;70;63;70;62;14;14;13;11;7;RCM;CM;74;Belgium;Standard Liège;21
83;Pedro González López;68;68;50;87;56;87;79;62;85;88;82;76;88;85;90;66;65;88;73;67;62;72;77;88;53;87;68;73;63;12;7;11;8;8;LCM;CM;86;Spain;FC Barcelona;19
84;Neymar da Silva Santos Júnior;83;83;63;85;86;95;88;87;81;94;88;86;93;88;82;79;62;79;52;81;63;37;86;90;91;93;35;32;29;9;9;15;15;11;CAM;LW;89;Brazil;Paris Saint Germain;30
85;Francisco Román Alarcón Suárez;78;75;55;81;67;91;88;76;80;90;68;62;79;75;88;69;60;58;58;78;57;61;77;83;74;82;58;64;51;10;8;12;15;6;CAM;CAM;82;Spain;Sevilla;30
86;José Diogo Dalot Teixeira;78;52;73;79;44;81;80;52;70;77;80;84;77;77;71;79;86;83;76;68;81;75;77;74;47;76;74;77;77;10;6;10;6;8;RB;RB;80;Portugal;Manchester United;23
87;Sandro Tonali;78;69;70;84;68;75;75;81;81;83;78;83;81;82;83;79;65;85;81;81;84;81;75;78;64;84;81;81;75;13;9;8;7;7;LCM;CDM;84;Italy;Milan;22
88;Jurriën David Norman Timber;60;41;71;80;41;76;44;31;70;78;78;83;73;78;74;58;85;81;82;46;76;82;63;64;42;85;83;83;77;6;6;8;14;14;RCB;CB;82;Netherlands;Ajax;21
89;Luka Romero;66;53;25;65;55;71;53;56;64;70;79;72;86;66;84;56;51;67;41;51;40;28;61;64;60;60;40;31;30;14;11;9;12;11;SUB;LM;69;Argentina;Lazio;17
90;Roony Bardghji;54;61;22;58;55;71;56;49;48;68;77;74;90;52;88;63;52;62;38;57;45;25;62;62;51;65;25;24;24;8;14;13;14;14;SUB;CAM;66;Sweden;København;16
91;Theo Bernard François Hernández;84;69;74;79;66;83;69;64;68;79;92;94;78;85;76;83;68;90;81;72;82;78;80;73;50;80;74;81;80;12;10;7;7;7;LB;LWB;86;France;Milan;24
92;Nicolò Zaniolo;64;75;64;79;60;82;65;60;68;85;89;86;79;77;76;79;65;75;87;71;89;60;86;76;60;74;64;63;58;8;11;11;13;5;LF;CAM;82;Italy;Roma;22
93;Moussa Diaby;76;80;28;80;67;88;71;42;73;85;95;92;92;76;93;73;62;82;44;64;67;48;79;77;48;75;48;35;46;8;9;8;8;14;RW;RM;84;France;Bayer 04 Leverkusen;22
94;Gavin Okeroghene Bazunu;11;5;11;45;7;12;14;12;51;20;49;43;54;65;42;55;79;16;50;5;16;9;8;60;15;38;16;12;11;72;68;73;68;74;GK;GK;71;Republic of Ireland;Southampton;20
95;Harvey Elliott;74;64;40;75;58;79;61;57;70;79;82;72;87;72;87;62;40;70;37;63;36;38;72;78;59;73;37;40;32;10;10;6;14;7;RCM;CAM;77;England;Liverpool;19
96;Gonçalo Bernardo Inácio;30;23;77;78;45;49;29;27;76;73;78;81;65;77;55;67;72;76;78;28;77;78;48;68;40;75;81;82;79;6;6;7;10;7;RCB;CB;81;Portugal;Sporting CP;20
97;Milos Kerkez;70;44;62;66;52;69;54;42;56;67;85;82;82;68;80;52;64;87;63;50;71;62;60;65;46;63;64;64;68;8;13;10;13;13;LWB;LB;72;Hungary;AZ;18
98;Máximo Perrone;49;54;57;75;50;74;55;35;73;77;69;65;76;61;72;59;49;80;58;52;52;68;65;71;44;63;70;67;65;11;10;15;9;11;LCM;CM;73;Argentina;Vélez Sarsfield;19
99;Bukayo Saka;81;78;45;80;70;86;80;69;65;83;88;82;84;82;85;72;54;80;58;69;66;68;82;82;70;79;65;69;67;7;8;13;9;13;RM;LM;84;England;Arsenal;20
100;Andreas Rædergård Schjelderup;60;69;39;67;54;77;60;59;56;72;81;74;83;65;87;58;51;66;49;61;47;35;67;68;69;71;35;35;35;13;10;10;15;11;LW;CAM;72;Norway;Nordsjælland;18
101;Gonzalo Ariel Montiel;74;56;71;74;41;73;59;39;66;74;84;83;82;76;75;65;80;93;72;59;87;78;77;70;75;75;76;75;74;6;10;11;5;6;RB;RWB;80;Argentina;Sevilla;25
102;Boubacar Bernard Kamara;64;47;72;77;28;71;59;47;75;77;69;70;68;74;66;67;79;82;76;63;84;86;52;72;63;84;78;82;80;8;12;8;6;11;LDM;CDM;81;France;Aston Villa;22
103;Emmanuel Kouadio Koné;70;71;68;78;55;84;70;50;77;82;75;67;76;75;76;74;70;75;73;68;71;67;69;78;54;76;64;74;70;11;10;11;9;10;LDM;CAM;79;France;Borussia Mönchengladbach;21
104;Moisés Isaac Caicedo Corozo;52;57;52;75;52;67;51;54;68;71;75;71;70;63;76;72;78;79;62;70;71;76;65;68;54;72;74;74;72;15;6;13;9;13;LDM;CDM;74;Ecuador;Brighton & Hove Albion;20
105;Florian Richard Wirtz;77;78;39;82;68;86;76;54;82;88;76;79;85;80;82;67;52;79;50;70;63;45;78;85;60;80;55;57;44;14;14;13;6;10;RES;CAM;84;Germany;Bayer 04 Leverkusen;19
106;Valentino Livramento;68;47;55;73;41;74;64;51;57;72;82;83;78;72;79;47;66;74;62;46;70;75;60;57;41;66;67;74;71;10;12;8;13;13;SUB;RB;75;England;Southampton;19
107;Sofiane Boufal;72;71;38;79;72;86;76;64;70;80;81;77;87;69;85;71;35;60;57;68;51;23;76;79;72;73;18;42;35;9;16;10;14;7;LS;CAM;78;Morocco;Angers SCO;28
108;Wesley Fofana;39;29;74;70;40;61;39;38;66;67;69;80;61;76;58;48;78;67;80;37;79;84;42;47;48;70;79;82;80;14;12;9;14;6;RES;CB;81;France;Chelsea;21
109;Anssumane Fati;69;82;66;73;69;82;75;73;69;80;90;87;89;77;82;74;75;63;48;72;48;19;80;74;74;82;23;32;28;6;9;8;10;7;SUB;CAM;80;Spain;FC Barcelona;19
110;Armando Broja;40;77;69;65;64;78;53;36;47;76;69;84;68;73;63;80;62;69;83;61;67;20;76;58;74;72;23;33;23;9;7;15;8;9;SUB;ST;77;Albania;Chelsea;20
111;Romeo Lavia;40;36;58;72;36;67;60;50;63;72;70;66;70;63;63;59;59;64;65;36;66;58;40;60;51;69;60;66;68;7;7;5;11;13;LDM;CDM;67;Belgium;Southampton;18
112;Luka Modrić;86;72;55;91;76;85;85;78;92;90;76;70;91;88;92;79;67;83;58;82;62;80;78;90;83;92;70;75;72;13;9;7;14;9;RCM;CM;88;Croatia;Real Madrid;36
113;Dayotchanculle Oswald Upamecano;48;39;82;77;27;69;32;28;72;70;74;89;63;78;67;60;87;65;88;40;85;76;47;58;39;71;79;84;84;6;7;8;15;9;RCB;CB;84;France;FC Bayern München;23
114;Jamie Bynoe-Gittens;59;64;42;63;59;78;59;42;43;74;86;79;86;59;82;56;71;56;52;45;38;24;58;54;53;49;20;22;24;6;5;12;7;8;SUB;RM;68;England;Borussia Dortmund;17
115;Frenkie de Jong;78;72;72;91;70;87;84;64;89;89;80;83;87;88;79;68;76;89;74;66;74;82;77;88;53;90;76;76;77;7;13;10;10;9;RCM;CM;89;Netherlands;FC Barcelona;25
116;Obite Evan N'Dicka;68;45;82;78;33;74;59;30;76;78;74;84;54;82;55;65;82;76;81;54;78;79;68;73;33;82;82;83;77;13;8;7;8;8;LCB;CB;83;France;Eintracht Frankfurt;22
117;Calvin Bassey Ughelumba;71;36;73;69;49;70;63;37;64;70;79;89;70;66;78;64;80;90;88;36;76;71;60;58;44;66;72;76;73;9;7;5;8;7;LCB;CB;77;Nigeria;Ajax;22
118;Mohamed-Ali Cho;61;72;65;74;52;81;43;50;50;76;83;79;71;65;68;70;59;60;63;65;33;21;74;68;64;63;23;22;20;9;6;6;7;7;SUB;CAM;75;France;Real Sociedad;18
119;Pablo Torre Carral;67;58;41;74;46;65;73;74;70;73;76;72;76;64;81;56;55;72;48;67;44;36;62;71;62;66;39;48;46;15;10;15;10;9;SUB;CAM;71;Spain;FC Barcelona;19
120;Frenkie de Jong;78;72;72;91;70;87;84;64;89;89;80;83;87;88;79;68;76;89;74;66;74;82;77;88;53;90;76;76;77;7;13;10;10;9;RCM;CM;89;Netherlands;FC Barcelona;25
121;Bruno Guimarães Rodriguez Moura;68;68;61;85;66;82;77;62;84;84;68;69;74;84;78;66;62;86;79;70;77;79;76;85;65;85;79;81;77;7;11;15;11;11;CM;CM;85;Brazil;Newcastle United;24
122;Raphaël Varane;42;46;85;78;42;61;46;52;77;75;77;84;62;84;39;52;80;65;87;53;78;84;55;59;43;82;86;86;83;11;11;9;5;14;RCB;CB;85;France;Manchester United;29
123;Youri Tielemans;81;74;67;89;79;78;84;78;88;85;58;54;65;83;76;87;65;85;69;87;68;70;78;86;76;85;68;72;68;6;8;10;14;12;RCM;CM;86;Belgium;Leicester City;25
124;Calvin Bassey Ughelumba;71;36;73;69;49;70;63;37;64;70;79;89;70;66;78;64;80;90;88;36;76;71;60;58;44;66;72;76;73;9;7;5;8;7;LCB;CB;77;Nigeria;Ajax;22
125;Youssouf Fofana;66;64;58;78;46;77;66;56;77;78;68;68;70;77;75;76;59;83;75;69;77;78;74;77;64;76;74;80;74;12;7;12;5;9;RDM;CDM;80;France;Monaco;23
126;Charles De Ketelaere;74;78;75;77;76;83;73;72;77;83;73;77;78;76;64;77;69;83;75;74;57;61;77;79;67;79;45;61;57;11;8;14;8;8;SUB;CAM;81;Belgium;Milan;21
127;Facundo Hernán Farías;64;69;63;73;71;83;69;49;72;80;91;82;90;72;91;82;57;73;69;70;72;29;75;69;74;80;33;43;37;6;13;6;6;13;SUB;CAM;78;Argentina;Colón;19
128;Carney Chibueze Chukwuemeka;53;66;46;71;52;72;55;46;67;72;67;63;57;55;75;56;50;50;61;46;58;47;66;69;58;69;50;49;54;12;12;9;11;10;SUB;CAM;69;England;Chelsea;18
